Iteration,Latency_ns,MinorFaults,MajorFaults
0,1955,1,0
1,15645,1,0
2,27238,1,0
3,9149,1,0
4,8521,1,0
5,34781,1,0
6,9499,1,0
7,7612,1,0
8,8172,1,0
9,7264,1,0
10,7263,1,0
11,7683,1,0
12,7613,1,0
13,9009,1,0
14,8660,1,0
15,8521,1,0
16,8032,1,0
17,8171,1,0
18,7683,1,0
19,7613,1,0
20,7683,1,0
21,7963,1,0
22,7054,1,0
23,7962,1,0
24,7962,1,0
25,8032,1,0
26,7124,1,0
27,7054,1,0
28,6775,1,0
29,7682,1,0
30,32267,1,0
31,7613,1,0
32,7613,1,0
33,19696,1,0
34,7543,1,0
35,6984,1,0
36,6705,1,0
37,7054,1,0
38,6635,1,0
39,7124,1,0
40,6635,1,0
41,6216,1,0
42,8032,1,0
43,6286,1,0
44,7613,1,0
45,7124,1,0
46,7613,1,0
47,6774,1,0
48,7682,1,0
49,7194,1,0
50,7194,1,0
51,8101,1,0
52,7962,1,0
53,8032,1,0
54,8521,1,0
55,8102,1,0
56,7683,1,0
57,6286,1,0
58,6774,1,0
59,8661,1,0
60,6635,1,0
61,7683,1,0
62,6705,1,0
63,7054,1,0
64,22280,1,0
65,7124,1,0
66,6775,1,0
67,7682,1,0
68,7543,1,0
69,7123,1,0
70,6704,1,0
71,7682,1,0
72,7193,1,0
73,6774,1,0
74,6286,1,0
75,8101,1,0
76,6286,1,0
77,7683,1,0
78,6775,1,0
79,6774,1,0
80,7333,1,0
81,8171,1,0
82,7753,1,0
83,7753,1,0
84,7193,1,0
85,7264,1,0
86,7194,1,0
87,7683,1,0
88,7123,1,0
89,7613,1,0
90,7752,1,0
91,7613,1,0
92,7613,1,0
93,7263,1,0
94,7264,1,0
95,19556,1,0
96,7613,1,0
97,7194,1,0
98,7613,1,0
99,7473,1,0
100,6565,1,0
101,7543,1,0
102,7124,1,0
103,7543,1,0
104,6705,1,0
105,7612,1,0
106,7613,1,0
107,8102,1,0
108,8660,1,0
109,6775,1,0
110,7752,1,0
111,7193,1,0
112,7194,1,0
113,7124,1,0
114,7613,1,0
115,7682,1,0
116,6705,1,0
117,7753,1,0
118,7264,1,0
119,7264,1,0
120,7124,1,0
121,7194,1,0
122,7543,1,0
123,7682,1,0
124,7193,1,0
125,7753,1,0
126,18997,1,0
127,7683,1,0
128,7683,1,0
129,7194,1,0
130,8031,1,0
131,6635,1,0
132,7054,1,0
133,7683,1,0
134,7683,1,0
135,7264,1,0
136,7263,1,0
137,7683,1,0
138,7682,1,0
139,7193,1,0
140,5797,1,0
141,7683,1,0
142,7124,1,0
143,7613,1,0
144,7543,1,0
145,7543,1,0
146,8171,1,0
147,7124,1,0
148,7613,1,0
149,7054,1,0
150,7543,1,0
151,7054,1,0
152,7473,1,0
153,7054,1,0
154,7543,1,0
155,8031,1,0
156,7054,1,0
157,19626,1,0
158,7194,1,0
159,7683,1,0
160,7124,1,0
161,7683,1,0
162,7194,1,0
163,7683,1,0
164,7054,1,0
165,7543,1,0
166,7613,1,0
167,6984,1,0
168,7543,1,0
169,7683,1,0
170,6705,1,0
171,8032,1,0
172,7124,1,0
173,7473,1,0
174,7473,1,0
175,8242,1,0
176,7682,1,0
177,7194,1,0
178,7613,1,0
179,6635,1,0
180,7962,1,0
181,8032,1,0
182,7054,1,0
183,7473,1,0
184,6984,1,0
185,7543,1,0
186,6635,1,0
187,7613,1,0
188,20045,1,0
189,7683,1,0
190,8102,1,0
191,9010,1,0
192,8171,1,0
193,6565,1,0
194,7543,1,0
195,7612,1,0
196,7543,1,0
197,7683,1,0
198,7054,1,0
199,7543,1,0
200,7543,1,0
201,7473,1,0
202,7124,1,0
203,7543,1,0
204,7473,1,0
205,7055,1,0
206,7962,1,0
207,8451,1,0
208,7124,1,0
209,7124,1,0
210,7124,1,0
211,7613,1,0
212,7124,1,0
213,7194,1,0
214,7124,1,0
215,7543,1,0
216,7543,1,0
217,6286,1,0
218,7683,1,0
219,19067,1,0
220,6984,1,0
221,7054,1,0
222,7962,1,0
223,7054,1,0
224,8032,1,0
225,7613,1,0
226,7962,1,0
227,7124,1,0
228,7612,1,0
229,7543,1,0
230,7193,1,0
231,7682,1,0
232,7263,1,0
233,6705,1,0
234,7613,1,0
235,7194,1,0
236,7264,1,0
237,7124,1,0
238,7054,1,0
239,6775,1,0
240,7683,1,0
241,7683,1,0
242,6775,1,0
243,7264,1,0
244,7752,1,0
245,8172,1,0
246,7193,1,0
247,6774,1,0
248,7613,1,0
249,6635,1,0
250,19975,1,0
251,6216,1,0
252,7194,1,0
253,7613,1,0
254,7612,1,0
255,8241,1,0
256,7263,1,0
257,7752,1,0
258,7264,1,0
259,7194,1,0
260,7193,1,0
261,7683,1,0
262,8591,1,0
263,7194,1,0
264,7264,1,0
265,7264,1,0
266,7194,1,0
267,7264,1,0
268,7613,1,0
269,7193,1,0
270,7263,1,0
271,7124,1,0
272,7124,1,0
273,7054,1,0
274,7543,1,0
275,14528,1,0
276,7473,1,0
277,7543,1,0
278,7543,1,0
279,7682,1,0
280,7194,1,0
281,20603,1,0
282,7054,1,0
283,6565,1,0
284,7543,1,0
285,7543,1,0
286,7124,1,0
287,7194,1,0
288,7613,1,0
289,6705,1,0
290,6635,1,0
291,7194,1,0
292,6216,1,0
293,7194,1,0
294,7682,1,0
295,8590,1,0
296,8172,1,0
297,8241,1,0
298,8171,1,0
299,8660,1,0
300,8101,1,0
301,9079,1,0
302,8661,1,0
303,8590,1,0
304,8451,1,0
305,8870,1,0
306,8032,1,0
307,8241,1,0
308,8172,1,0
309,7962,1,0
310,8870,1,0
311,8241,1,0
312,21930,1,0
313,9010,1,0
314,7054,1,0
315,7124,1,0
316,6635,1,0
317,29194,1,0
318,9010,1,0
319,6635,1,0
320,7124,1,0
321,6565,1,0
322,6635,1,0
323,6705,1,0
324,7124,1,0
325,6076,1,0
326,7473,1,0
327,13409,1,0
328,7054,1,0
329,5727,1,0
330,7194,1,0
331,7054,1,0
332,6147,1,0
333,6565,1,0
334,6705,1,0
335,6285,1,0
336,7194,1,0
337,22070,1,0
338,7054,1,0
339,6286,1,0
340,5797,1,0
341,7334,1,0
342,19695,1,0
343,7193,1,0
344,7264,1,0
345,6775,1,0
346,7193,1,0
347,6146,1,0
348,6077,1,0
349,7055,1,0
350,6704,1,0
351,6775,1,0
352,12921,1,0
353,8660,1,0
354,8102,1,0
355,7124,1,0
356,7962,1,0
357,8381,1,0
358,7962,1,0
359,8520,1,0
360,7124,1,0
361,7124,1,0
362,6076,1,0
363,6635,1,0
364,7054,1,0
365,6076,1,0
366,6216,1,0
367,7264,1,0
368,6286,1,0
369,6774,1,0
370,7263,1,0
371,9080,1,0
372,8521,1,0
373,21860,1,0
374,8591,1,0
375,6705,1,0
376,32406,1,0
377,8242,1,0
378,6845,1,0
379,7683,1,0
380,8102,1,0
381,8172,1,0
382,7194,1,0
383,5727,1,0
384,6775,1,0
385,6705,1,0
386,6774,1,0
387,8172,1,0
388,7613,1,0
389,6984,1,0
390,6076,1,0
391,5727,1,0
392,6775,1,0
393,6705,1,0
394,5797,1,0
395,6775,1,0
396,6704,1,0
397,6286,1,0
398,7054,1,0
399,6495,1,0
400,6635,1,0
401,6635,1,0
402,7123,1,0
403,7612,1,0
404,19067,1,0
405,7473,1,0
406,7054,1,0
407,6216,1,0
408,6705,1,0
409,7613,1,0
410,8032,1,0
411,5727,1,0
412,6286,1,0
413,6705,1,0
414,5727,1,0
415,5657,1,0
416,5168,1,0
417,6286,1,0
418,5727,1,0
419,5797,1,0
420,5169,1,0
421,5867,1,0
422,5727,1,0
423,5588,1,0
424,6216,1,0
425,5866,1,0
426,5657,1,0
427,5238,1,0
428,5308,1,0
429,5727,1,0
430,6635,1,0
431,5168,1,0
432,5727,1,0
433,6146,1,0
434,5168,1,0
435,16204,1,0
436,6146,1,0
437,5308,1,0
438,5308,1,0
439,5238,1,0
440,5169,1,0
441,6216,1,0
442,6285,1,0
443,23048,1,0
444,6775,1,0
445,6705,1,0
446,6635,1,0
447,7613,1,0
448,4749,1,0
449,6076,1,0
450,4819,1,0
451,6286,1,0
452,6216,1,0
453,6705,1,0
454,7054,1,0
455,7124,1,0
456,4750,1,0
457,6216,1,0
458,6774,1,0
459,6635,1,0
460,7124,1,0
461,6774,1,0
462,6635,1,0
463,15924,1,0
464,7473,1,0
465,8032,1,0
466,21511,1,0
467,6774,1,0
468,7194,1,0
469,8241,1,0
470,5657,1,0
471,6635,1,0
472,7124,1,0
473,6635,1,0
474,7194,1,0
475,7054,1,0
476,7194,1,0
477,38274,1,0
478,6775,1,0
479,7543,1,0
480,5588,1,0
481,6146,1,0
482,5657,1,0
483,6285,1,0
484,6775,1,0
485,7194,1,0
486,6705,1,0
487,8521,1,0
488,5168,1,0
489,6216,1,0
490,5308,1,0
491,3353,1,0
